transaction_id,customer_id,timestamp,transaction_type,amount,location
T1000,C772,2025-01-14 06:27:45,Deposit,550.81,Mumbai
T1001,C893,2025-01-31 05:46:23,Deposit,2772.32,Hyderabad
T1002,C331,2025-02-11 02:51:02,Deposit,2155.2,Mumbai
T1003,C249,2025-03-29 11:59:10,Deposit,4288.38,Mumbai
T1004,C781,2025-01-17 18:41:28,Withdrawal,1358.45,Bangalore
T1005,C522,2025-02-07 13:38:13,Withdrawal,3261.27,Delhi
T1006,C784,2025-02-03 03:58:48,Deposit,4351.36,Bangalore
T1007,C189,2025-03-06 14:49:28,Withdrawal,296.86,Delhi
T1008,C558,2025-01-28 18:37:34,Deposit,107.42,Mumbai
T1009,C482,2025-02-11 13:01:54,Deposit,1803.42,Hyderabad
T1010,C325,2025-03-25 15:16:21,Withdrawal,1889.04,Bangalore
T1011,C620,2025-03-14 08:03:21,Withdrawal,3394.19,Bangalore
T1012,C688,2025-03-06 18:49:44,Withdrawal,1099.8,Bangalore
T1013,C841,2025-01-15 19:04:50,Deposit,4232.04,Chennai
T1014,C463,2025-01-24 15:52:56,Withdrawal,4701.27,Delhi
T1015,C426,2025-01-26 00:43:50,Withdrawal,1879.17,Chennai
T1016,C656,2025-01-31 15:56:55,Withdrawal,2289.51,Bangalore
T1017,C677,2025-01-31 08:54:11,Withdrawal,4764.3,Bangalore
T1018,C140,2025-03-11 19:07:22,Deposit,4929.28,Mumbai
T1019,C811,2025-02-26 16:07:18,Deposit,2967.59,Chennai
T1020,C846,2025-01-21 03:42:57,Withdrawal,616.28,Delhi
T1021,C353,2025-03-23 20:00:27,Deposit,1031.82,Hyderabad
T1022,C367,2025-02-09 06:06:09,Deposit,1260.1,Mumbai
T1023,C507,2025-02-11 21:34:57,Withdrawal,1628.94,Delhi
T1024,C779,2025-02-24 19:44:46,Withdrawal,3216.96,Delhi
T1025,C341,2025-02-06 06:08:35,Withdrawal,1065.67,Chennai
T1026,C753,2025-02-21 23:46:13,Withdrawal,873.11,Delhi
T1027,C932,2025-03-19 04:49:58,Deposit,2052.01,Delhi
T1028,C866,2025-02-16 00:27:44,Deposit,1916.82,Mumbai
T1029,C101,2025-01-17 08:59:47,Deposit,103.7,Mumbai
T1030,C446,2025-01-10 01:58:36,Withdrawal,4212.13,Chennai
T1031,C443,2025-01-19 08:58:23,Deposit,3716.08,Delhi
T1032,C771,2025-03-22 17:28:44,Deposit,2222.17,Mumbai
T1033,C679,2025-01-14 10:02:22,Deposit,3511.68,Delhi
T1034,C417,2025-01-17 12:50:49,Deposit,1587.51,Mumbai
T1035,C180,2025-01-23 08:30:56,Deposit,1371.69,Delhi
T1036,C584,2025-01-10 01:45:03,Withdrawal,2544.32,Chennai
T1037,C381,2025-01-29 15:38:00,Deposit,1272.2,Bangalore
T1038,C549,2025-02-23 05:15:21,Deposit,3972.27,Bangalore
T1039,C271,2025-02-27 08:09:10,Deposit,3416.23,Delhi
T1040,C364,2025-01-30 19:17:54,Withdrawal,2492.83,Hyderabad
T1041,C383,2025-01-06 01:48:28,Withdrawal,4904.75,Bangalore
T1042,C539,2025-01-20 04:43:30,Deposit,2156.03,Mumbai
T1043,C707,2025-03-30 10:31:09,Deposit,853.14,Hyderabad
